T,E,M,V,Y,Cv,X
0.2,-1.89693,0.949823,0,0.947755,0.520729,0.102661
0.3,-1.84505,0.923582,0,0.920166,0.566801,0.148943
0.4,-1.78825,0.895364,0,0.889983,0.546366,0.203535
0.5,-1.73087,0.86669,0,0.857048,0.608175,0.295228
0.6,-1.67125,0.838289,0.00015625,0.822355,0.630834,0.320908
0.7,-1.60478,0.802389,0.000671875,0.778411,0.699587,0.434212
0.8,-1.52965,0.763721,0.003,0.726621,0.792434,0.543717
0.9,-1.44394,0.714764,0.0085,0.639809,0.932982,0.849625
1,-1.33532,0.634407,0.0215781,0.496056,1.15025,1.51653
1.1,-1.20143,0.515324,0.0439688,0.272706,1.39426,3.52907
1.2,-1.06817,0.389166,0.0689844,0.102694,1.27348,3.84317
1.3,-0.94213,0.251876,0.0983125,-0.00579995,0.994579,2.80584
1.4,-0.848346,0.209014,0.119688,0.0219089,0.803079,1.95063
1.5,-0.780119,0.168922,0.136984,0.00648393,0.664769,1.21668
1.6,-0.713089,0.152456,0.153609,0.00511436,0.581025,1.04187
1.7,-0.667635,0.135677,0.164797,-0.00516295,0.488715,0.765626
1.8,-0.618926,0.127829,0.177984,0.0198544,0.433758,0.681542
1.9,-0.578698,0.122835,0.187422,-0.00287562,0.369484,0.505716
