H,T,E,dE,M,dM,V,dV,Y,dY,Cv,X
0.2,0.2,-2.00157,3.4872e-05,0.959369,2.3862e-05,0,0,0.952132,3.34339e-07,0.489681,0.0455364
0.2,0.3,-1.95038,5.14532e-05,0.938082,3.43135e-05,0,0,0.92654,1.05443e-06,0.494853,0.0655951
0.2,0.4,-1.89753,7.21463e-05,0.916128,4.80237e-05,0,0,0.899717,3.5878e-06,0.521104,0.0939852
0.2,0.5,-1.84267,9.24039e-05,0.893237,6.16149e-05,3.66211e-06,6.58501e-07,0.871108,4.07549e-06,0.542641,0.114967
0.2,0.6,-1.7852,0.000115298,0.86914,7.28517e-05,5.01709e-05,2.51382e-06,0.83988,7.18856e-06,0.56967,0.148319
0.2,0.7,-1.72475,0.000137527,0.843587,8.57873e-05,0.000283081,6.06831e-06,0.806122,6.74594e-06,0.60871,0.174954
0.2,0.8,-1.65968,0.000163,0.815972,0.00010408,0.0011355,1.24958e-05,0.766375,1.45662e-05,0.653057,0.214856
0.2,0.9,-1.58826,0.000188513,0.785091,0.000118762,0.00335046,2.10256e-05,0.719367,2.55065e-05,0.737207,0.266263
0.2,1,-1.50838,0.00021947,0.749299,0.00013713,0.00800232,3.31975e-05,0.663238,2.94996e-05,0.799841,0.328112
0.2,1.1,-1.41741,0.000263601,0.706657,0.000164745,0.0163523,4.79005e-05,0.593641,3.65384e-05,0.905939,0.401831
0.2,1.2,-1.31531,0.000304297,0.655035,0.000207421,0.0295038,6.51249e-05,0.508404,9.09044e-05,1.02998,0.573415
0.2,1.3,-1.202,0.000350532,0.592667,0.000251183,0.0481072,8.45301e-05,0.40265,0.000217497,1.09827,0.762151
0.2,1.4,-1.08479,0.000359077,0.521808,0.000285746,0.0707205,9.45038e-05,0.315718,0.000109176,1.09769,0.976431
0.2,1.5,-0.971012,0.000350442,0.44751,0.000313168,0.0951385,0.000102246,0.225764,0.000222378,0.999713,1.1353
0.2,1.6,-0.869753,0.000380341,0.377056,0.000355271,0.118294,0.000120033,0.158731,9.74582e-05,0.873494,1.23029
0.2,1.7,-0.784263,0.000341456,0.317141,0.000341525,0.138975,0.000112189,0.112422,0.000111837,0.73749,1.21479
0.2,1.8,-0.714527,0.000322285,0.268367,0.000343355,0.156315,0.000115148,0.0758725,0.000150393,0.593174,1.13192
0.2,1.9,-0.655713,0.000333976,0.228794,0.000348866,0.171066,0.000119619,0.0529052,8.88735e-05,0.500979,1.0086
