T,E,M,V,Y,Cv,X
0.2,-1.89716,0.939243,0,0.947719,0.554781,0.345301
0.3,-1.84345,0.907774,0,0.919441,0.53715,0.582884
0.4,-1.7883,0.877674,0,0.889429,0.549166,0.558695
0.5,-1.72928,0.840772,1.95313e-05,0.856703,0.599338,0.77456
0.6,-1.66732,0.804282,0.000175781,0.820524,0.643578,1.18711
0.7,-1.60302,0.763702,0.000738281,0.776955,0.663016,1.70462
0.8,-1.5265,0.717461,0.00321094,0.715801,0.793009,1.33236
0.9,-1.43859,0.641572,0.00886719,0.624033,1.05524,3.7001
1,-1.32351,0.520033,0.022707,0.452061,1.42533,14.1755
1.1,-1.17653,0.317075,0.0485703,0.131275,1.43125,14.5957
1.2,-1.04821,0.183735,0.0742266,-0.0256747,1.22816,7.41671
1.3,-0.938953,0.126043,0.0993633,-0.0335557,0.96121,3.40752
1.4,-0.852,0.101466,0.119273,0.00593459,0.814444,2.27601
1.5,-0.775839,0.0852134,0.137527,-0.0115792,0.653091,1.3335
1.6,-0.716446,0.0741956,0.152488,0.00255042,0.563399,0.945461
1.7,-0.664961,0.0706553,0.166621,0.00169942,0.496503,0.797763
1.8,-0.621298,0.0622035,0.17723,-0.00859023,0.409086,0.6005
1.9,-0.581911,0.0563332,0.188027,0.0149221,0.364603,0.491139
