T,E,M,V,Y,Cv,X
0.2,-1.89749,0.926187,0,0.947838,0.545279,1.58337
0.3,-1.84381,0.890141,0,0.919406,0.557204,2.05997
0.4,-1.78764,0.850247,0,0.888888,0.592088,3.04216
0.5,-1.73,0.819364,1.85547e-05,0.856979,0.564072,2.65391
0.6,-1.66804,0.762689,0.000149414,0.81902,0.64147,9.14266
0.7,-1.60208,0.719501,0.000775391,0.77721,0.691417,6.98744
0.8,-1.52745,0.674726,0.00305078,0.719796,0.79367,5.99049
0.9,-1.43955,0.62862,0.00888184,0.62938,0.960613,4.34051
1,-1.3223,0.444416,0.0234092,0.340216,1.40495,12.1451
1.1,-1.17484,0.151931,0.0492617,0.034596,1.42879,22.6749
1.2,-1.04762,0.0868496,0.0745996,-0.00910753,1.19449,6.6752
1.3,-0.940292,0.0588772,0.0985947,-0.00356791,0.973067,3.51022
1.4,-0.852458,0.0520727,0.119287,0.0116436,0.780908,2.07437
1.5,-0.778744,0.0415513,0.137556,0.00732297,0.680254,1.33912
1.6,-0.719172,0.0379672,0.151961,0.00407755,0.580275,0.937936
1.7,-0.665529,0.0342526,0.165748,0.00365641,0.462702,0.805715
1.8,-0.620716,0.0320687,0.177453,-0.0100888,0.421492,0.617666
1.9,-0.580955,0.0288014,0.188233,-0.000188574,0.357912,0.532748
